"","Q32","Q33","Q1","Q61"
"1",2,3,"Boy",4
"2",4,4,"Girl",3
"3",2,3,"Girl",2
"4",3,3,"Boy",3
"5",3,2,"Boy",4
"6",NA,4,"Boy",3
"7",3,3,"Girl",NA
"8",1,3,"Boy",3
"9",2,2,"Boy",2
"10",3,3,"Girl",1
"11",3,3,"Girl",2
"12",3,3,"Girl",1
"13",1,3,"Boy",4
"14",3,3,"Girl",2
"15",1,3,"Boy",2
"16",3,3,"Girl",1
"17",3,3,"Girl",2
"18",2,3,"Girl",2
"19",NA,4,"Boy",NA
"20",3,4,"Boy",2
"21",3,3,"Boy",3
"22",3,3,"Girl",2
"23",4,3,"Boy",2
"24",3,3,"Boy",2
"25",1,3,"Girl",3
"26",3,4,"Boy",2
"27",3,4,"Girl",1
"28",2,3,"Boy",2
"29",1,4,"Girl",3
"30",3,4,"Girl",1
"31",4,3,"Girl",3
"32",3,3,"Girl",2
"33",3,4,"Boy",2
"34",3,3,"Girl",2
"35",2,5,"Boy",2
"36",3,3,"Boy",3
"37",2,3,"Boy",2
"38",1,3,"Girl",4
"39",3,4,"Boy",1
"40",3,4,"Girl",3
"41",2,2,"Boy",3
"42",5,5,"Boy",4
"43",3,3,"Boy",1
"44",3,2,"Boy",3
"45",1,3,"Boy",2
"46",3,4,"Girl",2
"47",4,4,"Girl",1
"48",3,4,"Girl",2
"49",NA,3,"Girl",3
"50",1,3,"Boy",1
"51",2,3,"Girl",2
"52",2,3,"Boy",4
"53",4,4,"Girl",2
"54",2,3,"Boy",4
"55",2,3,"Boy",4
"56",5,5,"Boy",4
"57",1,3,"Boy",2
"58",2,3,"Boy",4
"59",3,3,"Girl",2
"60",2,4,"Girl",3
"61",3,2,"Girl",2
"62",1,3,"Girl",2
"63",3,3,"Girl",3
"64",1,3,"Boy",2
"65",3,3,"Girl",1
"66",3,4,"Boy",4
"67",2,3,"Girl",2
"68",2,3,"Girl",2
"69",3,3,"Girl",2
"70",3,3,"Girl",2
"71",3,3,"Girl",1
"72",1,3,"Boy",4
"73",1,3,"Girl",3
"74",3,3,"Girl",1
"75",2,3,"Boy",4
"76",3,3,"Boy",4
"77",3,3,"Girl",2
"78",1,3,"Boy",1
"79",5,5,"Girl",3
"80",3,4,"Girl",2
"81",3,3,"Boy",1
"82",3,2,"Boy",4
"83",1,3,"Girl",4
"84",3,3,"Girl",2
"85",3,4,"Boy",4
"86",3,3,"Girl",3
"87",4,3,"Boy",2
"88",1,4,"Girl",1
"89",3,4,"Girl",3
"90",3,3,"Boy",2
"91",1,2,"Boy",NA
"92",3,3,"Girl",2
"93",1,4,"Girl",2
"94",2,3,"Girl",4
"95",NA,3,"Boy",4
"96",3,3,"Girl",2
"97",3,5,"Boy",3
"98",3,3,"Girl",3
"99",2,3,"Girl",1
"100",1,4,"Girl",3
"101",3,2,"Boy",2
"102",2,3,"Girl",1
"103",3,3,"Girl",2
"104",3,3,"Boy",4
"105",1,3,"Girl",2
"106",3,2,"Boy",1
"107",3,3,"Girl",2
"108",2,3,"Girl",4
"109",2,2,"Boy",1
"110",2,4,"Girl",1
"111",2,3,"Girl",2
"112",3,4,"Boy",1
"113",3,2,"Girl",4
"114",2,3,"Boy",3
"115",3,2,"Boy",4
"116",2,4,"Boy",2
"117",3,4,"Girl",2
"118",3,3,"Boy",2
"119",3,4,"Boy",2
"120",4,5,"Girl",1
"121",3,4,"Girl",3
"122",3,1,"Boy",NA
"123",2,3,"Boy",2
"124",2,3,"Girl",2
"125",3,1,"Boy",2
"126",1,3,"Boy",1
"127",5,5,"Girl",3
"128",3,3,"Girl",3
"129",3,3,"Boy",1
"130",4,3,"Boy",1
"131",3,3,"Girl",2
"132",3,3,"Girl",3
"133",3,3,"Girl",1
"134",3,3,"Girl",3
"135",3,2,"Boy",3
"136",3,3,"Boy",2
"137",1,3,"Boy",1
"138",5,4,"Boy",3
"139",3,4,"Girl",2
"140",1,3,"Girl",1
"141",2,4,"Boy",2
"142",2,3,"Girl",1
"143",3,3,"Boy",2
"144",3,4,"Girl",2
"145",3,3,"Boy",2
"146",5,4,"Boy",2
"147",2,3,"Boy",2
"148",3,4,"Girl",1
"149",3,4,"Girl",2
"150",2,4,"Girl",2
"151",3,4,"Boy",2
"152",3,3,"Girl",2
"153",2,3,"Girl",2
"154",2,3,"Boy",1
"155",3,4,"Boy",3
"156",2,4,"Boy",2
"157",1,4,"Girl",2
"158",1,1,"Girl",1
"159",3,3,"Boy",1
"160",2,3,"Girl",1
"161",3,3,"Boy",2
